r2
Best parameters set found on development set:
{'epsilon': 0.1, 'C': 1000, 'gamma': 0.001}

Grid scores on development set:
0.021 (+/-0.068) for {'epsilon': 0.001, 'C': 1000, 'gamma': 0.01}
0.093 (+/-0.053) for {'epsilon': 0.001, 'C': 1000, 'gamma': 0.001}
0.088 (+/-0.037) for {'epsilon': 0.001, 'C': 1000, 'gamma': 0.0001}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 1000, 'gamma': 1}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 1000, 'gamma': 0.1}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 1000, 'gamma': 0.01}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 1000, 'gamma': 0.001}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 1000, 'gamma': 0.0001}
0.026 (+/-0.033) for {'epsilon': 1, 'C': 1000, 'gamma': 1}
-0.078 (+/-0.058) for {'epsilon': 1, 'C': 1000, 'gamma': 0.1}
0.008 (+/-0.050) for {'epsilon': 1, 'C': 1000, 'gamma': 0.01}
0.066 (+/-0.051) for {'epsilon': 1, 'C': 1000, 'gamma': 0.001}
0.056 (+/-0.029) for {'epsilon': 1, 'C': 1000, 'gamma': 0.0001}
-0.440 (+/-0.067) for {'epsilon': 0.1, 'C': 1000, 'gamma': 1}
-0.511 (+/-0.174) for {'epsilon': 0.1, 'C': 1000, 'gamma': 0.1}
0.038 (+/-0.063) for {'epsilon': 0.1, 'C': 1000, 'gamma': 0.01}
0.095 (+/-0.053) for {'epsilon': 0.1, 'C': 1000, 'gamma': 0.001}
0.088 (+/-0.031) for {'epsilon': 0.1, 'C': 1000, 'gamma': 0.0001}
-0.589 (+/-0.094) for {'epsilon': 0.01, 'C': 1000, 'gamma': 1}
-0.608 (+/-0.209) for {'epsilon': 0.01, 'C': 1000, 'gamma': 0.1}
0.023 (+/-0.067) for {'epsilon': 0.01, 'C': 1000, 'gamma': 0.01}
0.093 (+/-0.053) for {'epsilon': 0.01, 'C': 1000, 'gamma': 0.001}
0.088 (+/-0.037) for {'epsilon': 0.01, 'C': 1000, 'gamma': 0.0001}
-0.606 (+/-0.097) for {'epsilon': 0.001, 'C': 1000, 'gamma': 1}
-0.618 (+/-0.211) for {'epsilon': 0.001, 'C': 1000, 'gamma': 0.1}
0.021 (+/-0.068) for {'epsilon': 0.001, 'C': 1000, 'gamma': 0.01}
0.093 (+/-0.053) for {'epsilon': 0.001, 'C': 1000, 'gamma': 0.001}
0.088 (+/-0.037) for {'epsilon': 0.001, 'C': 1000, 'gamma': 0.0001}

=============================
mean_absolute_error
Best parameters set found on development set:
{'epsilon': 0.1, 'C': 1000, 'gamma': 0.001}

Grid scores on development set:
